Subject,FR_Value,Methadone_dose,Total_Reinforcers,FI_Reinforcers,Reinforcers/min,Key_Pecks,Key_Pecks/min,%Saline
P-164,50,0,96,0,2.13333333333333,5670,126,100
P-164,75,0,56,4,1.24444444444444,4410,98,100
P-164,200,0,25,20,0.555555555555556,2880,64,100
P-164,50,0.5,105,0,2.33333333333333,6407.1,142.38,113
P-164,75,0.5,40,15,0.888888888888889,4410,98,100
P-164,200,0.5,28,26,0.622222222222222,1872,41.6,65
P-164,50,1.0,57,5,1.26666666666667,3118.5,69.3,55
P-164,75,1.0,64,0,1.42222222222222,5512.5,122.5,125
P-164,200,1.0,28,28,0.622222222222222,2592,57.6,90
P-164,50,2.0,49,5,1.08888888888889,2664.9,59.22,47
P-164,75,2.0,37,6,0.822222222222222,2910.6,64.68,66
P-164,200,2.0,28,28,0.622222222222222,3801.6,84.48,132
P-164,50,3.0,35,15,0.777777777777778,1644.3,36.54,29
P-164,75,3.0,30,15,0.666666666666667,1455.3,32.34,33
P-164,200,3.0,28,28,0.622222222222222,1728,38.4,60
P-10,50,0,92,0,2.04444444444444,5310,118,100
P-10,75,0,57,0.5,1.26666666666667,4635,103,100
P-10,200,0,28,27,0.622222222222222,3150,70,100
P-10,50,0.5,77,0,1.71111111111111,4407.3,97.94,83
P-10,75,0.5,35,9,0.777777777777778,2549.25,56.65,55
P-10,200,0.5,28,28,0.622222222222222,2614.5,58.1,83
P-10,50,1.0,48,6,1.06666666666667,2389.5,53.1,45
P-10,75,1.0,45,1,1,3522.6,78.28,76
P-10,200,1.0,28,28,0.622222222222222,2394,53.2,76
P-10,50,2.0,37,5,0.822222222222222,1593,35.4,30
P-10,75,2.0,27,11,0.6,1390.5,30.9,30
P-10,200,2.0,28,28,0.622222222222222,2205,49,70
P-10,50,3.0,6,4,0.133333333333333,53.1,1.18,1
P-10,75,3.0,0,0,0,0,0,0
P-10,200,3.0,14,14,0.311111111111111,724.5,16.1,23
P-11,50,0,97,0.5,2.15555555555556,5940,132,100
P-11,75,0,82,0,1.82222222222222,6930,154,100
P-11,200,0,30,23,0.666666666666667,3825,85,100
P-11,50,0.5,72,1,1.6,5346,118.8,90
P-11,75,0.5,49,16,1.08888888888889,3257.1,72.38,47
P-11,200,0.5,30,20,0.666666666666667,4590,102,120
P-11,50,1.0,75,1,1.66666666666667,4158,92.4,70
P-11,75,1.0,68,1,1.51111111111111,5613.3,124.74,81
P-11,200,1.0,31,19,0.688888888888889,4590,102,120
P-11,50,2.0,72,1,2.2,4692.6,104.28,79
P-11,75,2.0,25,25,0.555555555555556,693,15.4,10
P-11,200,2.0,29,28,0.644444444444444,2218.5,49.3,58
P-11,50,3.0,0,0,0,0,0,0
P-11,75,3.0,0,0,0,0,0,0
P-11,200,3.0,18,18,0.4,765,17,20
P-12,50,0,74,0,1.64444444444444,4140,92,100
P-12,75,0,52,4,1.15555555555556,4275,95,100
P-12,200,0,28,20,0.622222222222222,2205,49,100
P-12,50,0.5,50,0,1.11111111111111,2235.6,49.68,54
P-12,75,0.5,43,2,0.955555555555556,3462.75,76.95,81
P-12,200,0.5,28,28,0.622222222222222,1786.05,39.69,81
P-12,50,1.0,50,0,1.11111111111111,2691,59.8,65
P-12,75,1.0,29,18,0.644444444444444,1923.75,42.75,45
P-12,200,1.0,28,28,0.622222222222222,1962.45,43.61,89
P-12,50,2.0,87,0,1.93333333333333,2815.2,62.56,68
P-12,75,2.0,59,0,1.31111111111111,2736,60.8,64
P-12,200,2.0,28,28,0.622222222222222,2425.5,53.9,110
P-12,50,3.0,11,11,0.244444444444444,82.8,1.84,2
P-12,75,3.0,28,28,0.622222222222222,1154.25,25.65,27
P-12,200,3.0,28,28,0.622222222222222,2138.85,47.53,97
