Subject,FR_Value,Methadone_dose,Total_Reinforcers,FI_Reinforcers,Reinforcers/min,Key_Pecks,Key_Pecks/min,%Saline
P-5,50,0,99,0,2.2,4905,109,100
P-5,75,0,56,1,1.24444444444444,4725,105,100
P-5,50,0.5,106,0,2.35555555555556,0,,
P-5,75,0.5,53,1,1.17777777777778,0,,
P-5,50,1.0,98,0,2.17777777777778,4659.75,103.55,95
P-5,75,1.0,64,0,1.42222222222222,4441.5,98.7,94
P-5,50,2.0,59,2,1.31111111111111,0,0,0
P-5,75,2.0,43,5,0.955555555555556,2362.5,52.5,50
P-5,50,3.0,5,4,0.111111111111111,0,0,0
P-5,75,3.0,0,0,0,0,0,0
P-6,50,0,140,0.25,3.11111111111111,5895,131,100
P-6,75,0,90,0,2,5850,130,100
P-6,50,0.5,137,0,3.04444444444444,5895,131,100
P-6,75,0.5,89,0,1.97777777777778,5850,130,100
P-6,50,1.0,118,1,2.62222222222222,1061.1,23.58,18
P-6,75,1.0,89,0,1.97777777777778,2047.5,45.5,35
P-6,50,2.0,4,79,0.0888888888888889,0,0,0
P-6,75,2.0,0,90,0,0,0,0
P-6,50,3.0,115,1,2.55555555555556,0,0,0
P-6,75,3.0,47,2,1.04444444444444,0,0,0
P-8,50,0.25,100,0,2.22222222222222,6210,138,100
P-8,75,0,71,1,1.57777777777778,6390,142,100
P-8,50,0.5,108,0,2.4,6210,138,100
P-8,75,0.5,42,6,0.933333333333333,6390,142,100
P-8,50,1.0,106,1,2.35555555555556,6396.3,142.14,103
P-8,75,1.0,47,2,1.04444444444444,5303.7,117.86,83
P-8,50,2.0,95,3,2.11111111111111,2856.6,63.48,46
P-8,75,2.0,61,1,1.35555555555556,5303.7,117.86,83
P-8,50,3.0,0,0,0,4968,110.4,80
P-8,75,3.0,0,0,0,4281.3,95.14,67
P-9,50,0,88,1,1.95555555555556,5265,117,100
P-9,75,0,57,2,1.26666666666667,5220,116,100
P-9,50,0.5,96,0,2.13333333333333,0,,
P-9,75,0.5,58,2,1.28888888888889,0,,
P-9,50,1.0,87,0,1.93333333333333,4475.25,99.45,85
P-9,75,1.0,48,1,1.06666666666667,4332.6,96.28,83
P-9,50,2.0,68,3,1.51111111111111,0,0,0
P-9,75,2.0,45,2,1,3654,81.2,70
P-9,50,3.0,0,0,0,0,0,0
P-9,75,3.0,33,6,0.733333333333333,0,0,0
