Subject,FR_Value,Methadone_dose,Total_Reinforcers,FI_Reinforcers,Reinforcers/min,Key_Pecks,Key_Pecks/min,%Saline
P-21,50,0,85,0,1.88888888888889,4905,109,100
P-21,75,0,60,1,1.33333333333333,4725,105,100
P-21,50,1.0,84,0,1.86666666666667,4659.75,103.55,95
P-21,75,1.0,54,1,1.2,4441.5,98.7,94
P-21,50,2.0,0,0,0,0,0,0
P-21,75,2.0,29,1,0.644444444444444,2362.5,52.5,50
P-21,50,3.0,0,0,0,0,0,0
P-21,75,3.0,0,0,0,0,0,0
P-22,50,0,100,0,2.22222222222222,5895,131,100
P-22,75,0,83,1,1.84444444444444,5850,130,100
P-22,50,1.0,21,3,0.466666666666667,1061.1,23.58,18
P-22,75,1.0,27,2,0.6,2047.5,45.5,35
P-22,50,2.0,0,0,0,0,0,0
P-22,75,2.0,0,0,0,0,0,0
P-22,50,3.0,0,0,0,0,0,0
P-22,75,3.0,0,0,0,0,0,0
P-23,50,0,105,0,2.33333333333333,6210,138,100
P-23,75,0,75,1,1.66666666666667,6390,142,100
P-23,50,1.0,109,0,2.42222222222222,6396.3,142.14,103
P-23,75,1.0,65,1,1.44444444444444,5303.7,117.86,83
P-23,50,2.0,55,2,1.22222222222222,2856.6,63.48,46
P-23,75,2.0,64,1,1.42222222222222,5303.7,117.86,83
P-23,50,3.0,82,0,1.82222222222222,4968,110.4,80
P-23,75,3.0,54,3,1.2,4281.3,95.14,67
P-24,50,0,91,0,2.02222222222222,5265,117,100
P-24,75,0,63,0,1.4,5220,116,100
P-24,50,1.0,82,0,1.82222222222222,4475.25,99.45,85
P-24,75,1.0,53,0,1.17777777777778,4332.6,96.28,83
P-24,50,2.0,0,0,0,0,0,0
P-24,75,2.0,47,2,1.04444444444444,3654,81.2,70
P-24,50,3.0,0,0,0,0,0,0
P-24,75,3.0,0,0,0,0,0,0
